Num_Acc,inverse_data,week_day,state,severity,weather,location,hrmn,lum,vehicle_type,vehicle_model,engine_size,driver_sex,driver_age,car_age,casualty_severity,casualty_age,casualty_sex,social_class,casualty_type,pedestrian_or_passenger,cause
AID0044,23-10-2022,T,ML,Moderate,Rain,Loc16,515,Twilight,Motorcycle,Model5,1618,F,55,1,Serious,52,M,Upper,Cyclist,Passenger,Traffic Control
AID0045,10-08-2023,M,UP,Minor,Rain,Loc128,2258,Daylight,Motorcycle,Model24,2289,M,69,14,Fatal,55,M,Middle,Pedestrian,Passenger,Traffic Control
AID0046,27-06-2022,S,HP,Severe,Rain,Loc70,38,Twilight,Bus,Model29,2664,F,31,3,Slight,44,M,Upper,Pedestrian,Passenger,Traffic Control
AID0047,16-03-2022,W,BR,Minor,Rain,Loc132,1832,Daylight,Motorcycle,Model46,984,M,32,19,Slight,57,F,Working,Pedestrian,Passenger,Traffic Control
AID0048,03-10-2022,W,JH,Severe,Fog,Loc22,532,Night,Bus,Model42,2502,M,19,3,Slight,12,M,Middle,Pedestrian,Passenger,Traffic Control
AID0049,14-09-2022,M,ML,Minor,Fog,Loc147,1831,Daylight,Car,Model10,1481,M,41,3,Fatal,22,M,Working,Cyclist,Pedestrian,Traffic Control
AID0050,27-05-2022,M,MZ,Severe,Rain,Loc54,23,Daylight,Bus,Model17,1271,M,47,16,Fatal,73,F,Middle,Cyclist,Pedestrian,Traffic Control
AID0051,04-06-2023,T,GA,Moderate,Snow,Loc53,1108,Night,Motorcycle,Model31,2143,M,35,13,Serious,69,M,Middle,Car Passenger,Passenger,Traffic Control
AID0052,01-10-2023,F,JH,Moderate,Rain,Loc30,2041,Night,Car,Model36,1533,F,47,17,Slight,61,M,Upper,Motorcyclist,Passenger,Traffic Control
AID0053,14-10-2022,W,MZ,Moderate,Storm,Loc69,751,Night,Truck,Model40,2586,M,45,9,Slight,80,M,Middle,Cyclist,Pedestrian,Traffic Control
AID0054,15-08-2023,M,AR,Moderate,Storm,Loc139,1537,Twilight,Truck,Model50,1295,F,49,1,Fatal,3,F,Upper,Cyclist,Pedestrian,Traffic Control
AID0055,24-12-2023,S,BR,Severe,Clear,Loc184,1455,Daylight,Motorcycle,Model9,2631,F,58,16,Slight,16,M,Upper,Motorcyclist,Pedestrian,Traffic Control
AID0056,24-09-2022,T,TR,Minor,Fog,Loc190,559,Night,Car,Model37,1254,F,51,13,Fatal,43,F,Upper,Motorcyclist,Pedestrian,Traffic Control
AID0057,29-04-2023,S,RJ,Moderate,Clear,Loc136,305,Daylight,Bus,Model46,2087,M,22,2,Slight,53,F,Working,Car Passenger,Passenger,Traffic Control
AID0058,03-08-2023,M,CG,Moderate,Clear,Loc161,1631,Night,Bus,Model21,1028,M,27,17,Slight,33,F,Middle,Car Passenger,Passenger,Traffic Control
AID0059,13-04-2023,F,HP,Minor,Clear,Loc131,1630,Twilight,Bus,Model21,2332,M,54,5,Serious,49,F,Working,Cyclist,Pedestrian,Traffic Control
AID0060,03-11-2023,W,UK,Severe,Clear,Loc25,925,Daylight,Car,Model42,2977,F,53,0,Slight,32,F,Working,Car Passenger,Pedestrian,Traffic Control
AID0061,07-01-2022,F,MH,Moderate,Rain,Loc96,941,Night,Motorcycle,Model48,2220,F,68,3,Fatal,17,F,Middle,Car Passenger,Passenger,Traffic Control
AID0062,24-05-2023,S,DL,Minor,Fog,Loc174,1409,Twilight,Bus,Model49,2377,F,26,7,Serious,62,F,Upper,Cyclist,Passenger,Traffic Control
AID0063,06-04-2022,F,AS,Moderate,Rain,Loc111,1624,Daylight,Bus,Model50,830,F,59,12,Fatal,59,M,Middle,Motorcyclist,Passenger,Traffic Control
AID0064,08-07-2022,T,RJ,Minor,Clear,Loc70,1507,Twilight,Truck,Model28,1237,M,61,4,Slight,68,F,Middle,Motorcyclist,Pedestrian,Traffic Control
AID0065,20-09-2022,M,KA,Severe,Storm,Loc35,235,Night,Car,Model13,1391,M,64,11,Fatal,34,M,Middle,Cyclist,Pedestrian,Traffic Control
AID0066,27-06-2022,S,MH,Minor,Storm,Loc188,1058,Night,Truck,Model34,2205,M,54,5,Fatal,31,F,Working,Car Passenger,Passenger,Traffic Control
AID0067,29-04-2023,M,RJ,Minor,Snow,Loc134,446,Night,Motorcycle,Model9,2277,F,23,12,Fatal,56,M,Working,Motorcyclist,Passenger,Traffic Control
AID0068,17-02-2022,W,KL,Moderate,Fog,Loc112,1143,Daylight,Bus,Model39,2093,F,58,10,Fatal,60,M,Upper,Cyclist,Pedestrian,Traffic Control
AID0069,20-11-2023,S,PB,Severe,Rain,Loc103,1628,Night,Truck,Model44,1918,M,59,14,Slight,10,M,Upper,Motorcyclist,Passenger,Traffic Control
AID0070,19-12-2023,S,MZ,Minor,Snow,Loc76,1102,Twilight,Bus,Model28,1606,M,50,14,Slight,78,F,Working,Pedestrian,Passenger,Traffic Control
AID0071,29-06-2023,M,HP,Moderate,Storm,Loc114,1142,Night,Car,Model25,2870,F,57,20,Slight,27,F,Upper,Motorcyclist,Passenger,Traffic Control
AID0072,09-11-2023,S,UP,Moderate,Clear,Loc55,1943,Daylight,Motorcycle,Model3,2204,M,37,6,Slight,32,M,Middle,Car Passenger,Pedestrian,Traffic Control
AID0073,18-12-2023,W,MN,Moderate,Clear,Loc127,2206,Night,Bus,Model21,1204,M,22,9,Fatal,80,M,Working,Cyclist,Passenger,Traffic Control
AID0074,01-09-2023,W,NL,Moderate,Clear,Loc169,2256,Daylight,Truck,Model28,2174,M,36,11,Fatal,56,M,Upper,Car Passenger,Pedestrian,Traffic Control
AID0075,16-06-2022,M,GJ,Severe,Snow,Loc49,1257,Twilight,Truck,Model39,925,M,24,15,Fatal,1,M,Working,Cyclist,Passenger,Traffic Control
AID0076,28-01-2023,T,UK,Severe,Fog,Loc191,824,Twilight,Truck,Model24,2459,M,56,18,Slight,47,F,Middle,Car Passenger,Passenger,Traffic Control
AID0077,27-11-2023,S,OD,Moderate,Rain,Loc34,1846,Twilight,Truck,Model17,1677,M,22,19,Serious,4,F,Working,Car Passenger,Passenger,Traffic Control
AID0078,05-10-2022,F,TR,Minor,Fog,Loc4,425,Daylight,Motorcycle,Model47,1033,F,28,2,Serious,39,M,Middle,Cyclist,Pedestrian,Traffic Control
AID0079,30-12-2022,S,HP,Severe,Fog,Loc12,219,Night,Bus,Model2,1510,F,60,19,Serious,35,F,Working,Pedestrian,Pedestrian,Traffic Control
AID0080,10-07-2023,W,PB,Minor,Storm,Loc107,1953,Daylight,Car,Model33,1754,M,65,19,Slight,3,F,Middle,Cyclist,Pedestrian,Traffic Control
AID0081,05-10-2023,M,MN,Severe,Snow,Loc109,839,Twilight,Bus,Model38,1631,M,42,5,Slight,61,M,Working,Car Passenger,Passenger,Traffic Control
AID0082,16-09-2023,T,UP,Minor,Snow,Loc89,954,Night,Car,Model21,1694,M,66,1,Fatal,4,F,Middle,Cyclist,Pedestrian,Traffic Control
AID0083,22-09-2023,W,MP,Moderate,Rain,Loc170,631,Daylight,Motorcycle,Model33,906,F,37,17,Serious,58,M,Working,Pedestrian,Pedestrian,Traffic Control
AID0084,29-06-2023,S,UP,Moderate,Snow,Loc101,1129,Night,Bus,Model41,1616,M,28,10,Slight,13,F,Upper,Motorcyclist,Passenger,Traffic Control
AID0085,10-02-2022,M,BR,Moderate,Clear,Loc39,1402,Daylight,Bus,Model43,1220,M,28,17,Fatal,1,M,Upper,Motorcyclist,Passenger,Traffic Control
AID0086,30-03-2022,T,DL,Moderate,Snow,Loc132,239,Twilight,Truck,Model34,1574,F,43,11,Slight,14,M,Upper,Cyclist,Pedestrian,Traffic Control
AID0087,05-12-2023,T,MN,Minor,Fog,Loc132,1725,Night,Motorcycle,Model47,2987,F,48,18,Serious,44,M,Working,Cyclist,Passenger,Traffic Control
AID0088,12-02-2023,M,CG,Minor,Rain,Loc165,1406,Daylight,Car,Model32,992,F,65,14,Slight,24,M,Middle,Motorcyclist,Passenger,Traffic Control
AID0089,15-04-2022,S,OD,Moderate,Fog,Loc151,2139,Night,Motorcycle,Model50,2724,M,50,17,Slight,65,M,Upper,Motorcyclist,Pedestrian,Traffic Control
AID0090,26-02-2022,M,AR,Severe,Snow,Loc120,1437,Night,Motorcycle,Model34,2711,F,26,7,Slight,25,M,Working,Motorcyclist,Passenger,Traffic Control
AID0091,31-10-2023,F,AR,Minor,Storm,Loc61,1016,Night,Motorcycle,Model50,1040,F,66,6,Serious,55,M,Middle,Car Passenger,Pedestrian,Traffic Control
AID0092,03-04-2023,T,CG,Moderate,Rain,Loc175,2341,Daylight,Truck,Model43,974,F,25,5,Fatal,52,F,Middle,Cyclist,Pedestrian,Traffic Control
AID0093,21-08-2022,S,UP,Moderate,Clear,Loc19,1441,Daylight,Bus,Model10,2035,F,38,13,Slight,35,M,Middle,Pedestrian,Passenger,Traffic Control
AID0094,10-11-2022,S,TR,Moderate,Rain,Loc29,1111,Daylight,Truck,Model40,906,F,49,19,Slight,30,F,Working,Cyclist,Pedestrian,Traffic Control
AID0095,24-01-2022,S,TR,Minor,Snow,Loc127,1214,Night,Motorcycle,Model33,1730,F,36,15,Serious,12,F,Middle,Pedestrian,Passenger,Traffic Control
AID0096,23-12-2022,F,OD,Severe,Clear,Loc125,222,Daylight,Bus,Model12,871,F,28,18,Fatal,48,F,Middle,Cyclist,Passenger,Traffic Control
AID0097,31-10-2023,S,DL,Moderate,Snow,Loc169,1513,Daylight,Motorcycle,Model37,2628,F,46,10,Slight,32,M,Upper,Cyclist,Passenger,Traffic Control
AID0098,22-07-2022,S,PB,Minor,Clear,Loc186,157,Twilight,Car,Model4,2089,F,33,2,Serious,64,M,Upper,Motorcyclist,Pedestrian,Traffic Control
AID0099,10-01-2022,S,WB,Severe,Clear,Loc72,1638,Twilight,Motorcycle,Model9,2908,M,34,11,Serious,30,M,Upper,Car Passenger,Passenger,Traffic Control
AID0100,26-02-2023,T,KA,Minor,Storm,Loc79,815,Daylight,Bus,Model18,1335,F,69,9,Slight,36,F,Upper,Car Passenger,Passenger,Traffic Control
AID0101,18-07-2022,F,MH,Moderate,Snow,Loc17,1648,Night,Car,Model50,2825,M,65,19,Slight,28,M,Working,Car Passenger,Pedestrian,Traffic Control
AID0102,26-02-2023,M,OD,Severe,Rain,Loc4,410,Night,Truck,Model44,1290,F,59,10,Slight,77,F,Working,Motorcyclist,Passenger,Traffic Control
AID0103,13-11-2022,W,RJ,Moderate,Rain,Loc94,456,Twilight,Truck,Model37,1114,M,18,7,Slight,24,F,Middle,Motorcyclist,Passenger,Traffic Control
AID0104,09-04-2022,W,HR,Moderate,Storm,Loc123,539,Twilight,Motorcycle,Model43,2285,F,23,10,Slight,35,M,Working,Motorcyclist,Passenger,Traffic Control
AID0105,14-05-2023,F,UP,Moderate,Clear,Loc31,409,Twilight,Motorcycle,Model42,2558,F,50,17,Slight,18,F,Upper,Car Passenger,Pedestrian,Traffic Control
AID0106,06-05-2022,T,SK,Minor,Fog,Loc153,1819,Twilight,Bus,Model20,2973,M,49,14,Serious,67,M,Middle,Pedestrian,Pedestrian,Traffic Control
AID0107,18-07-2023,F,HP,Severe,Clear,Loc199,1526,Daylight,Truck,Model13,1956,F,34,4,Slight,6,M,Middle,Cyclist,Pedestrian,Road Features
AID0108,22-09-2023,T,AR,Moderate,Storm,Loc118,1410,Twilight,Car,Model2,1237,F,53,10,Fatal,3,F,Upper,Cyclist,Passenger,Road Features
AID0109,21-05-2022,T,PB,Severe,Fog,Loc167,4,Twilight,Car,Model32,814,F,56,0,Serious,14,F,Middle,Motorcyclist,Passenger,Road Features
AID0110,19-01-2023,T,JH,Moderate,Fog,Loc80,201,Night,Bus,Model8,2934,M,28,9,Fatal,21,M,Working,Cyclist,Passenger,Road Features
AID0111,20-11-2022,T,CG,Moderate,Storm,Loc7,151,Daylight,Truck,Model45,1262,M,33,10,Slight,75,F,Upper,Cyclist,Passenger,Road Features
AID0112,22-11-2023,S,GA,Moderate,Snow,Loc43,1443,Daylight,Motorcycle,Model21,2473,M,42,4,Fatal,65,M,Upper,Car Passenger,Pedestrian,Road Features
AID0113,26-07-2023,W,WB,Severe,Storm,Loc153,335,Twilight,Bus,Model1,1315,M,35,4,Slight,18,M,Middle,Cyclist,Pedestrian,Road Features
AID0114,18-12-2023,F,NL,Moderate,Rain,Loc156,1316,Twilight,Truck,Model24,2986,M,67,14,Serious,53,F,Middle,Motorcyclist,Passenger,Road Features
AID0115,15-02-2023,M,MH,Severe,Fog,Loc7,1934,Twilight,Car,Model5,2952,F,56,18,Slight,57,M,Upper,Car Passenger,Passenger,Road Features
AID0116,09-08-2023,W,RJ,Severe,Storm,Loc194,532,Twilight,Bus,Model8,861,F,46,1,Fatal,75,M,Middle,Cyclist,Pedestrian,Road Features
AID0117,09-02-2022,M,MN,Minor,Rain,Loc54,1043,Night,Truck,Model24,1285,M,35,9,Fatal,16,F,Middle,Cyclist,Passenger,Road Features
AID0118,13-04-2023,T,AS,Moderate,Fog,Loc86,417,Twilight,Bus,Model15,1099,M,62,7,Slight,70,M,Working,Cyclist,Pedestrian,Road Features
AID0119,25-03-2022,S,DL,Moderate,Fog,Loc182,1700,Twilight,Car,Model44,1166,F,54,19,Slight,2,M,Middle,Car Passenger,Passenger,Road Features
AID0120,06-09-2023,M,RJ,Severe,Fog,Loc84,1525,Daylight,Bus,Model24,1961,M,45,3,Fatal,31,M,Upper,Car Passenger,Pedestrian,Road Features
AID0121,14-10-2022,W,AP,Moderate,Fog,Loc163,1959,Twilight,Truck,Model27,2520,F,59,20,Slight,20,M,Working,Cyclist,Pedestrian,Road Features
AID0122,25-08-2023,W,TN,Severe,Storm,Loc114,801,Night,Truck,Model44,2477,F,68,18,Slight,13,F,Middle,Car Passenger,Pedestrian,Road Features
AID0123,14-03-2023,S,OD,Moderate,Rain,Loc54,1107,Night,Truck,Model11,1312,F,41,19,Serious,41,F,Middle,Pedestrian,Passenger,Road Features
AID0124,01-02-2022,T,HP,Minor,Fog,Loc153,821,Daylight,Truck,Model18,1922,M,56,0,Slight,48,M,Working,Cyclist,Pedestrian,Road Features
AID0125,28-11-2023,S,AR,Minor,Clear,Loc114,535,Night,Motorcycle,Model15,1511,F,65,10,Serious,17,M,Working,Pedestrian,Passenger,Road Features
AID0126,15-05-2022,T,MP,Minor,Snow,Loc53,1630,Night,Bus,Model9,2752,F,67,19,Fatal,47,F,Middle,Cyclist,Pedestrian,Road Features
AID0127,02-06-2022,F,BR,Moderate,Rain,Loc25,1124,Night,Bus,Model43,1180,M,27,13,Slight,78,M,Middle,Car Passenger,Pedestrian,Road Features
AID0128,18-04-2023,S,AR,Severe,Snow,Loc168,341,Twilight,Motorcycle,Model1,2951,F,60,5,Serious,44,F,Working,Motorcyclist,Passenger,Road Features
AID0129,18-04-2023,S,HR,Moderate,Rain,Loc61,1048,Night,Truck,Model6,1990,M,52,20,Slight,61,F,Working,Pedestrian,Pedestrian,Road Features
AID0130,15-08-2023,S,HR,Minor,Fog,Loc121,1935,Daylight,Truck,Model37,2512,F,43,12,Serious,8,M,Upper,Motorcyclist,Pedestrian,Road Features
AID0131,01-05-2023,T,MZ,Severe,Storm,Loc148,400,Daylight,Truck,Model9,2272,M,28,0,Serious,22,M,Middle,Cyclist,Passenger,Road Features
AID0132,05-09-2022,T,ML,Moderate,Snow,Loc147,405,Twilight,Bus,Model14,1695,F,44,4,Serious,62,F,Middle,Cyclist,Passenger,Road Features
AID0133,13-03-2023,S,TN,Severe,Snow,Loc93,1148,Twilight,Truck,Model38,2423,M,25,2,Slight,39,F,Middle,Cyclist,Pedestrian,Road Features
AID0134,29-05-2023,S,KL,Minor,Rain,Loc169,1751,Daylight,Truck,Model43,2079,F,41,14,Serious,14,F,Upper,Pedestrian,Passenger,Road Features
AID0135,14-12-2023,T,HP,Moderate,Storm,Loc135,508,Daylight,Car,Model21,1077,F,21,4,Fatal,10,F,Middle,Car Passenger,Passenger,Road Features
AID0136,26-10-2023,F,GA,Moderate,Snow,Loc137,1333,Night,Car,Model13,1044,F,41,7,Serious,79,F,Working,Pedestrian,Passenger,Road Features
AID0137,11-04-2023,T,NL,Severe,Fog,Loc80,1553,Night,Car,Model19,2749,F,47,9,Fatal,57,F,Middle,Cyclist,Passenger,Road Features
AID0138,16-11-2023,M,MN,Minor,Clear,Loc184,944,Twilight,Bus,Model40,1613,M,31,10,Fatal,73,M,Upper,Car Passenger,Pedestrian,Road Features
AID0139,04-01-2023,F,DL,Moderate,Rain,Loc150,749,Twilight,Motorcycle,Model39,2386,F,69,20,Slight,70,F,Middle,Motorcyclist,Pedestrian,Road Features
AID0140,04-11-2022,T,CG,Minor,Fog,Loc123,1224,Daylight,Motorcycle,Model1,1954,F,55,3,Serious,22,F,Upper,Car Passenger,Passenger,Road Features
AID0141,11-10-2022,M,AP,Minor,Clear,Loc38,2309,Twilight,Motorcycle,Model47,2621,M,55,12,Serious,76,F,Working,Motorcyclist,Passenger,Road Features
AID0142,19-08-2023,S,CG,Moderate,Clear,Loc196,1208,Twilight,Car,Model11,2781,F,54,16,Fatal,40,F,Upper,Cyclist,Pedestrian,Road Features
AID0143,22-04-2023,S,MN,Moderate,Fog,Loc179,2137,Night,Truck,Model34,1648,M,50,12,Serious,39,F,Middle,Motorcyclist,Passenger,Road Features
AID0144,26-02-2023,S,ML,Minor,Rain,Loc164,347,Night,Car,Model32,1268,F,53,14,Fatal,29,M,Upper,Car Passenger,Pedestrian,Road Features
AID0145,29-12-2022,S,AP,Moderate,Rain,Loc183,1822,Twilight,Car,Model31,2661,F,66,2,Fatal,30,M,Working,Car Passenger,Pedestrian,Road Features
AID0146,17-07-2022,M,WB,Severe,Snow,Loc173,751,Daylight,Motorcycle,Model43,2528,F,31,12,Serious,43,M,Upper,Car Passenger,Passenger,Road Features
AID0147,15-11-2023,T,OD,Minor,Fog,Loc117,1124,Twilight,Bus,Model5,2410,M,49,10,Slight,36,F,Middle,Car Passenger,Passenger,Road Features
AID0148,09-02-2022,S,UK,Minor,Fog,Loc183,1843,Daylight,Car,Model37,2125,M,66,2,Serious,68,F,Upper,Car Passenger,Pedestrian,Road Features
AID0149,04-09-2022,M,HP,Moderate,Snow,Loc190,1424,Night,Bus,Model14,886,F,66,9,Fatal,56,M,Working,Cyclist,Passenger,Road Features
AID0150,10-01-2022,S,HP,Severe,Clear,Loc33,1632,Night,Bus,Model35,1098,M,43,15,Serious,30,F,Working,Car Passenger,Passenger,Road Features
AID0151,18-04-2022,S,JH,Severe,Fog,Loc136,1821,Daylight,Truck,Model38,1182,M,66,0,Fatal,56,M,Middle,Pedestrian,Pedestrian,Road Features
AID0152,02-08-2023,T,MP,Moderate,Rain,Loc65,2103,Twilight,Bus,Model48,1012,M,18,6,Serious,44,F,Working,Car Passenger,Passenger,Road Features
AID0153,18-03-2022,M,GJ,Moderate,Fog,Loc180,7,Twilight,Truck,Model2,1223,F,29,14,Slight,41,F,Upper,Pedestrian,Pedestrian,Road Features
AID0154,21-05-2022,T,AP,Minor,Snow,Loc185,1703,Twilight,Motorcycle,Model14,1029,F,22,14,Slight,11,F,Middle,Car Passenger,Pedestrian,Road Features
AID0155,02-03-2022,W,DL,Minor,Snow,Loc143,832,Twilight,Motorcycle,Model2,1951,F,36,0,Fatal,70,F,Middle,Pedestrian,Passenger,Road Features
AID0156,03-03-2023,S,HP,Minor,Rain,Loc14,1042,Twilight,Motorcycle,Model2,2212,M,70,9,Serious,11,M,Working,Cyclist,Passenger,Road Features
AID0157,27-10-2022,S,MP,Minor,Fog,Loc101,444,Night,Car,Model20,2996,F,58,2,Slight,64,M,Working,Motorcyclist,Passenger,Road Features
AID0158,20-10-2022,T,NL,Minor,Storm,Loc88,111,Twilight,Motorcycle,Model42,1980,M,43,5,Slight,24,M,Upper,Pedestrian,Pedestrian,Road Features
AID0159,03-06-2022,T,BR,Severe,Fog,Loc133,2046,Daylight,Bus,Model40,2458,M,52,13,Serious,19,M,Middle,Car Passenger,Passenger,Road Features
AID0160,09-09-2023,W,CG,Minor,Snow,Loc83,752,Night,Truck,Model10,2805,M,40,19,Serious,11,M,Working,Car Passenger,Passenger,Road Features
